cloudCeiling,cloudCover,cloudCoverPhrase,dayOfWeek,dayOrNight,expirationTimeUtc,iconCode,iconCodeExtend,obsQualifierCode,obsQualifierSeverity,precip1Hour,precip6Hour,precip24Hour,pressureAltimeter,pressureChange,pressureMeanSeaLevel,pressureTendencyCode,pressureTendencyTrend,relativeHumidity,snow1Hour,snow6Hour,snow24Hour,sunriseTimeLocal,sunriseTimeUtc,sunsetTimeLocal,sunsetTimeUtc,temperature,temperatureChange24Hour,temperatureDewPoint,temperatureFeelsLike,temperatureHeatIndex,temperatureMax24Hour,temperatureMaxSince7Am,temperatureMin24Hour,temperatureWetBulbGlobe,temperatureWindChill,uvDescription,uvIndex,validTimeLocal,validTimeUtc,visibility,windDirection,windDirectionCardinal,windGust,windSpeed,wxPhraseLong,wxPhraseMedium,wxPhraseShort,_collecte_le
,0,Clear,Monday,N,1782765601,31,3100,,,0.0,0.0,0.0,1024.72,1.35,1025.4,1,Rising,49,0.0,0.0,0.0,2026-06-29T05:49:16+0200,1782704956,2026-06-29T21:58:16+0200,1782763096,22,-1,11,22,22,28,28,17,64,22,Low,0,2026-06-29T22:30:01+0200,1782765001,9.66,350,N,27,14,Clear,Clear,Clear,2026-06-29T20:35:39.363189
,30,Partly Cloudy,Monday,N,1782766202,33,3300,,,0.0,0.0,0.0,1025.06,1.35,1025.1,1,Rising,50,0.0,0.0,0.0,2026-06-29T05:49:16+0200,1782704956,2026-06-29T21:58:16+0200,1782763096,22,-1,11,22,22,28,28,17,64,22,Low,0,2026-06-29T22:40:02+0200,1782765602,9.66,0,N,,13,Fair,Fair,Fair,2026-06-29T20:40:55.550005
,30,Partly Cloudy,Monday,N,1782766202,33,3300,,,0.0,0.0,0.0,1025.06,1.35,1025.1,1,Rising,50,0.0,0.0,0.0,2026-06-29T05:49:16+0200,1782704956,2026-06-29T21:58:16+0200,1782763096,22,-1,11,22,22,28,28,17,64,22,Low,0,2026-06-29T22:40:02+0200,1782765602,9.66,0,N,,13,Fair,Fair,Fair,2026-06-29T20:45:44.268864
,30,Partly Cloudy,Monday,N,1782766804,33,3300,,,0.0,0.0,0.0,1025.06,1.69,1025.1,1,Rising,51,0.0,0.0,0.0,2026-06-29T05:49:16+0200,1782704956,2026-06-29T21:58:16+0200,1782763096,21,-1,11,21,21,28,28,17,64,21,Low,0,2026-06-29T22:50:04+0200,1782766204,9.66,0,N,,13,Fair,Fair,Fair,2026-06-29T20:50:51.723831
,1,Clear,Tuesday,N,1782772826,31,3100,,,0.0,0.0,0.0,1025.06,1.02,1025.2,1,Rising,57,0.0,0.0,0.0,2026-06-30T05:49:49+0200,1782791389,2026-06-30T21:58:04+0200,1782849484,18,-2,10,18,18,28,28,17,60,18,Low,0,2026-06-30T00:30:26+0200,1782772226,9.66,0,N,,8,Clear,Clear,Clear,2026-06-29T22:39:00.653020
,30,Partly Cloudy,Tuesday,D,1782805991,34,3480,,,0.0,0.0,0.0,1023.03,-0.34,1023.1,2,Falling,59,0.0,0.0,0.0,2026-06-30T05:49:49+0200,1782791389,2026-06-30T21:58:04+0200,1782849484,21,1,12,21,21,28,21,15,69,21,Low,2,2026-06-30T09:43:11+0200,1782805391,9.66,20,NNE,,8,Showers in the Vicinity,Showers in Vicinity,Showers Near,2026-06-30T07:46:15.237584
